supplier_alias,line_value_usd,spend_share,shipments
Supplier 01,147703351.01,0.2724088454781273,754
Supplier 02,91383710.67,0.1685387023984076,668
Supplier 03,72213665.51,0.13318344583794128,317
Supplier 04,42881567.05,0.07908634497799946,277
Supplier 05,39658694.6,0.07314241102372972,175
Supplier 06,29448061.22,0.054310970629002885,347
Supplier 07,22485465.06,0.04146987549807636,93
Supplier 08,20769341.25,0.038304833523179156,356
Supplier 09,9891003.64,0.018241948227768614,715
Supplier 10,8887045.9,0.016390351991176028,98
Supplier 11,8776716.719999999,0.016186872216744138,68
Supplier 12,8520709.6,0.015714719056260606,109
Supplier 13,7325764.5,0.013510885406753851,70
Supplier 14,5756840.4,0.010617323413736683,41
Supplier 15,3164725.01,0.0058366928057812855,41
