supplier_alias,line_value_usd,shipments,spend_share,on_time_rate,p90_delay_days,late_rate,comparable_lines,mean_positive_price_variance,max_product_dependency,products_served,delivery_risk,commercial_risk,dependency_risk,observable_risk_score,action
Supplier 01,147703351.01,754,0.2724088454781273,0.870026525198939,3.0,0.12997347480106103,23.0,0.0,1.0,11,80.0,10.0,65.0,52.5,DEVELOP
Supplier 02,91383710.67,668,0.1685387023984076,0.8592814371257484,8.0,0.14071856287425155,273.0,0.007041321623446914,1.0,43,100.0,50.0,65.0,75.5,DIVERSIFY
Supplier 03,72213665.51,317,0.13318344583794128,0.9936908517350158,0.0,0.006309148264984188,106.0,0.013401957129755388,1.0,22,30.0,80.0,65.0,54.5,RENEGOTIATE
Supplier 04,42881567.05,277,0.07908634497799946,0.9927797833935018,0.0,0.0072202166064981865,162.0,0.005548603498723099,1.0,17,40.0,40.0,65.0,45.0,PROTECT
Supplier 05,39658694.6,175,0.07314241102372972,0.8685714285714285,14.0,0.13142857142857145,88.0,0.00993851274356659,1.0,26,90.0,60.0,65.0,74.5,DEVELOP
Supplier 07,22485465.06,93,0.04146987549807636,0.956989247311828,0.0,0.043010752688172005,70.0,0.010288986677506287,1.0,10,60.0,70.0,65.0,64.5,PROTECT
Supplier 09,9891003.64,715,0.018241948227768614,0.9846153846153847,0.0,0.01538461538461533,251.0,0.07181065098097447,1.0,60,50.0,100.0,65.0,70.5,RENEGOTIATE
Supplier 14,5756840.4,41,0.010617323413736683,0.9512195121951219,0.0,0.04878048780487809,18.0,0.02098765432098764,1.0,6,70.0,90.0,65.0,76.0,RENEGOTIATE
Supplier 22,1457654.62,35,0.002688348026126875,1.0,0.0,0.0,21.0,0.0005817759476296057,0.043125875926839655,5,15.0,20.0,10.0,15.8,PROTECT
Supplier 24,873335.66,326,0.0016106903278001559,1.0,0.0,0.0,95.0,0.0008919522885449704,0.21252544605436474,25,15.0,30.0,20.0,21.2,PROTECT
